t2m,ssrd,e,sp,tp,year
291.81097,15629278.0,0.0027686004,97727.375,0.0033664699,1995
285.48773,9546015.0,0.001774312,97287.59,0.0040795524,1995
285.8141,8276705.0,0.0012571295,98135.56,0.0025767721,1995
277.95392,3242636.0,0.000512708,97741.84,0.0014099359,1995
273.5134,2400788.0,0.00056656264,97488.11,0.0034603088,1995
273.36288,3090912.0,0.0006754445,97287.39,0.006402112,1996
272.73022,4790870.0,0.0008990159,97174.414,0.0040657646,1996
275.86493,10775050.0,0.0014538802,97542.2,0.0039975564,1996
281.3632,12874430.0,0.0019079973,97648.46,0.0024072437,1996
283.56207,18768202.0,0.0031223753,97337.84,0.0021331555,1996
288.40588,19363340.0,0.003384226,98047.83,0.0022079956,1996
289.2242,20665812.0,0.0038255062,97825.11,0.0024996044,1996
289.80182,17584026.0,0.0031364355,97579.984,0.0018910763,1996
284.44247,9494991.0,0.0017360542,97605.3,0.0034386104,1996
282.82202,6989402.5,0.00095793884,97755.31,0.0015585002,1996
277.60773,3943284.0,0.0005262438,97085.625,0.00090382976,1996
272.5673,2629768.0,0.00024794415,97257.69,0.0025350389,1996
270.10767,3755044.0,0.00022155698,98078.5,0.000827763,1997
277.26312,6073784.0,0.00043201353,98005.66,0.0026503373,1997
280.32562,11586307.0,0.0011414653,98344.484,0.0010081567,1997
279.9123,17890766.0,0.00248437,97956.41,0.0007492627,1997
285.1112,14821468.0,0.0024420908,97533.64,0.0028401562,1997
288.00378,20328240.0,0.0033568693,97084.89,0.001554903,1997
289.58954,20048076.0,0.0031621717,97820.91,0.001564413,1997
293.1322,15909182.0,0.00251487,97693.31,0.003025404,1997
287.51178,11093192.0,0.0016197134,98164.94,0.00092095963,1997
281.94727,6337924.0,0.0009833742,97744.734,0.002226276,1997
278.5122,3069248.0,0.0005799327,96860.89,0.004447251,1997
275.87073,2928828.0,0.0002985131,97285.734,0.0022622466,1997
275.69568,3846100.0,8.606538e-05,97682.8,0.00086682086,1998
276.5927,5421620.0,0.00088678766,98524.09,0.004365934,1998
278.74423,9992097.0,0.0013218299,98192.5,0.0011465396,1998
280.72095,16579678.0,0.0021888558,96503.56,0.0008314041,1998
286.72562,19806472.0,0.0032638311,97619.195,0.0029972324,1998
288.5841,17575744.0,0.003330458,97657.31,0.00514323,1998
288.89056,19358198.0,0.0034859646,97497.375,0.0021794187,1998
290.34497,17456988.0,0.0031988593,97864.266,0.0020300865,1998
286.6119,14006169.0,0.0020655226,97188.17,0.00094783405,1998
282.02625,7722257.5,0.0011290195,97378.92,0.001838614,1998
274.9079,3614564.0,0.0006097718,97784.94,0.0035662036,1998
275.25458,2096200.0,0.0004523825,98009.25,0.0034576554,1998
276.39392,3437540.0,0.0005847523,97521.695,0.0027818414,1999
274.5003,6477524.0,0.00046949927,97616.31,0.00058052957,1999
278.99713,10072965.0,0.0014631264,97189.625,0.001630511,1999
281.6244,12040316.0,0.0020646611,97370.2,0.0055034263,1999
286.60068,19089208.0,0.0032361904,97585.67,0.0015794705,1999
287.73105,18921270.0,0.0034519136,97820.32,0.0025982498,1999
291.72675,15492420.0,0.0028061466,97702.03,0.0016119014,1999
290.32166,16830812.0,0.0025754785,97428.26,0.00079198775,1999
289.69827,9225388.0,0.0018057879,97275.59,0.004116426,1999
282.50232,4714919.0,0.0011596307,97668.8,0.0054120705,1999
276.8919,4065812.0,0.0005028285,98069.84,0.0020759813,1999
275.3836,2405392.0,0.00031381473,97178.0,0.0018658823,1999
275.00378,2956256.0,0.0004629437,98387.7,0.002726425,2000
276.95508,5700082.0,0.00053142477,98066.75,0.00237974,2000
278.57224,9323850.0,0.0013410556,97948.84,0.0029063213,2000
282.12256,14626170.0,0.0021996265,96792.58,0.0033573867,2000
286.91547,18355754.0,0.003065872,97559.19,0.0017556404,2000
289.25406,19957788.0,0.0033787545,98016.0,0.002188805,2000
287.62494,19803994.0,0.0034842985,97359.72,0.0015474538,2000
